gid_1,province,year,month,burned_area_ha,fire_count
IDN.13_1,Kalimantan Selatan,2005,7,363.0,3
IDN.14_1,Kalimantan Tengah,2005,7,811.0,7
IDN.12_1,Kalimantan Barat,2005,8,16020.0,106
IDN.13_1,Kalimantan Selatan,2005,8,10796.0,42
IDN.14_1,Kalimantan Tengah,2005,8,10463.0,63
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2005,8,1816.0,14
IDN.12_1,Kalimantan Barat,2005,9,2264.0,15
IDN.13_1,Kalimantan Selatan,2005,9,28473.0,125
IDN.14_1,Kalimantan Tengah,2005,9,30086.0,171
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2005,9,6269.0,32
IDN.13_1,Kalimantan Selatan,2005,10,2583.0,25
IDN.14_1,Kalimantan Tengah,2005,10,8437.0,58
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2005,10,64.0,1
IDN.12_1,Kalimantan Barat,2006,3,93.0,2
IDN.12_1,Kalimantan Barat,2006,5,64.0,1
IDN.12_1,Kalimantan Barat,2006,6,470.0,3
IDN.14_1,Kalimantan Tengah,2006,6,640.0,6
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2006,6,492.0,2
IDN.12_1,Kalimantan Barat,2006,7,7282.0,51
IDN.13_1,Kalimantan Selatan,2006,7,1487.0,5
IDN.14_1,Kalimantan Tengah,2006,7,4399.0,27
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2006,7,1411.0,9
IDN.12_1,Kalimantan Barat,2006,8,102218.0,509
IDN.13_1,Kalimantan Selatan,2006,8,11432.0,54
IDN.14_1,Kalimantan Tengah,2006,8,58518.0,352
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2006,8,14320.0,77
IDN.12_1,Kalimantan Barat,2006,9,40627.0,267
IDN.13_1,Kalimantan Selatan,2006,9,51595.0,251
IDN.14_1,Kalimantan Tengah,2006,9,65940.0,403
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2006,9,9421.0,48
IDN.12_1,Kalimantan Barat,2006,10,24375.0,146
IDN.13_1,Kalimantan Selatan,2006,10,41172.0,254
IDN.14_1,Kalimantan Tengah,2006,10,117436.0,685
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2006,10,28283.0,151
IDN.13_1,Kalimantan Selatan,2006,11,1685.0,20
IDN.14_1,Kalimantan Tengah,2006,11,19801.0,113
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2006,11,2928.0,14
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2006,12,235.0,3
IDN.12_1,Kalimantan Barat,2007,1,107.0,1
IDN.12_1,Kalimantan Barat,2007,2,1047.0,6
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2007,2,150.0,1
IDN.12_1,Kalimantan Barat,2007,3,449.0,5
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2007,3,150.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2007,5,149.0,2
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2007,6,320.0,3
IDN.12_1,Kalimantan Barat,2007,7,661.0,6
IDN.13_1,Kalimantan Selatan,2007,7,706.0,3
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2007,7,321.0,3
IDN.12_1,Kalimantan Barat,2007,8,13781.0,84
IDN.13_1,Kalimantan Selatan,2007,8,770.0,6
IDN.14_1,Kalimantan Tengah,2007,8,534.0,6
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2007,8,2500.0,6
IDN.12_1,Kalimantan Barat,2007,9,3524.0,17
IDN.13_1,Kalimantan Selatan,2007,9,8396.0,47
IDN.14_1,Kalimantan Tengah,2007,9,10422.0,52
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2007,9,921.0,8
IDN.12_1,Kalimantan Barat,2007,10,491.0,2
IDN.13_1,Kalimantan Selatan,2007,10,785.0,12
IDN.14_1,Kalimantan Tengah,2007,10,4938.0,41
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2007,10,1323.0,13
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2007,11,85.0,1
IDN.12_1,Kalimantan Barat,2008,5,2093.0,12
IDN.14_1,Kalimantan Tengah,2008,5,128.0,2
IDN.12_1,Kalimantan Barat,2008,6,768.0,6
IDN.14_1,Kalimantan Tengah,2008,6,235.0,2
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2008,6,512.0,3
IDN.12_1,Kalimantan Barat,2008,7,171.0,2
IDN.12_1,Kalimantan Barat,2008,8,3095.0,18
IDN.13_1,Kalimantan Selatan,2008,8,107.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2008,8,471.0,3
IDN.12_1,Kalimantan Barat,2008,9,406.0,4
IDN.13_1,Kalimantan Selatan,2008,9,257.0,2
IDN.14_1,Kalimantan Tengah,2008,9,1752.0,10
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2008,9,661.0,6
IDN.12_1,Kalimantan Barat,2008,10,128.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2009,3,320.0,3
IDN.12_1,Kalimantan Barat,2009,4,85.0,1
IDN.14_1,Kalimantan Tengah,2009,4,150.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2009,4,85.0,1
IDN.12_1,Kalimantan Barat,2009,5,1388.0,8
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2009,5,171.0,1
IDN.12_1,Kalimantan Barat,2009,6,3653.0,27
IDN.13_1,Kalimantan Selatan,2009,6,385.0,5
IDN.14_1,Kalimantan Tengah,2009,6,727.0,4
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2009,6,791.0,4
IDN.12_1,Kalimantan Barat,2009,7,20764.0,102
IDN.13_1,Kalimantan Selatan,2009,7,8074.0,41
IDN.14_1,Kalimantan Tengah,2009,7,6131.0,20
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2009,7,1452.0,10
IDN.12_1,Kalimantan Barat,2009,8,75606.0,449
IDN.13_1,Kalimantan Selatan,2009,8,19239.0,106
IDN.14_1,Kalimantan Tengah,2009,8,42446.0,219
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2009,8,5677.0,41
IDN.12_1,Kalimantan Barat,2009,9,32870.0,207
IDN.13_1,Kalimantan Selatan,2009,9,48679.0,292
IDN.14_1,Kalimantan Tengah,2009,9,150598.0,850
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2009,9,28044.0,158
IDN.12_1,Kalimantan Barat,2009,10,4269.0,35
IDN.13_1,Kalimantan Selatan,2009,10,6514.0,47
IDN.14_1,Kalimantan Tengah,2009,10,15909.0,111
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2009,10,1752.0,18
IDN.13_1,Kalimantan Selatan,2009,11,170.0,1
IDN.14_1,Kalimantan Tengah,2009,11,747.0,2
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2009,11,64.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2010,1,598.0,4
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2010,2,3590.0,10
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2010,3,1403.0,7
IDN.12_1,Kalimantan Barat,2010,8,1795.0,13
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2010,8,385.0,3
IDN.12_1,Kalimantan Barat,2010,9,768.0,8
IDN.14_1,Kalimantan Tengah,2010,9,64.0,1
